,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,quality
412,7.1,0.735,0.16,0.1,77.0,0.9966,0.64,low
413,9.9,0.4,0.53,0.097,19.0,0.9986,0.82,high
414,8.8,0.52,0.34,0.087,122.0,0.9982,0.61,low
415,8.6,0.725,0.24,0.117,134.0,1.0014,1.07,low
416,10.6,0.48,0.64,0.111,20.0,0.997,0.66,low
417,7.0,0.58,0.12,0.091,124.0,0.9956,0.48,low
418,11.9,0.38,0.51,0.121,20.0,0.9996,0.76,low
419,6.8,0.77,0.0,0.066,52.0,0.9976,0.68,low
420,9.5,0.56,0.33,0.08900000000000001,67.0,0.9972,0.73,high
421,6.6,0.84,0.03,0.059,48.0,0.9952,0.56,high
422,7.7,0.96,0.2,0.047,60.0,0.9955,0.44,low
423,10.5,0.24,0.47,0.066,24.0,0.9978,0.9,high
424,7.7,0.96,0.2,0.047,60.0,0.9955,0.44,low
425,6.6,0.84,0.03,0.059,48.0,0.9952,0.56,high
426,6.4,0.67,0.08,0.045,48.0,0.9949,0.49,low
427,9.5,0.78,0.22,0.077,32.0,0.9988,0.56,low
428,9.1,0.52,0.33,0.07,30.0,0.9978,0.6,low
429,12.8,0.84,0.63,0.08800000000000001,35.0,0.9997,0.6,low
430,10.5,0.24,0.47,0.066,24.0,0.9978,0.9,high
431,7.8,0.55,0.35,0.07400000000000001,66.0,0.9974,0.56,low
432,11.9,0.37,0.69,0.078,24.0,0.9958,0.65,low
433,12.3,0.39,0.63,0.091,18.0,1.0004,0.49,low
434,10.4,0.41,0.55,0.076,54.0,0.9996,0.89,low
435,12.3,0.39,0.63,0.091,18.0,1.0004,0.49,low
436,8.0,0.67,0.3,0.06,62.0,0.9958,0.56,low
437,11.1,0.45,0.73,0.066,22.0,0.9986,0.66,low
438,10.4,0.41,0.55,0.076,54.0,0.9996,0.89,low
439,7.0,0.62,0.18,0.062,50.0,0.9951,0.6,low
440,12.6,0.31,0.72,0.07200000000000001,29.0,0.9987,0.82,high
441,11.9,0.4,0.65,0.068,27.0,0.9988,0.68,low
442,15.6,0.685,0.76,0.1,43.0,1.0032,0.68,high
443,10.0,0.44,0.49,0.077,19.0,0.9963,0.63,high
444,5.3,0.57,0.01,0.054000000000000006,27.0,0.9934,0.84,high
445,9.5,0.735,0.1,0.079,31.0,0.9986,0.56,low
446,12.5,0.38,0.6,0.081,72.0,0.9996,0.73,low
447,9.3,0.48,0.29,0.127,16.0,0.9968,0.72,low
448,8.6,0.53,0.22,0.1,27.0,0.9967,0.56,low
449,11.9,0.39,0.69,0.095,35.0,0.9994,0.61,low
450,11.9,0.39,0.69,0.095,35.0,0.9994,0.61,low
451,8.4,0.37,0.53,0.413,26.0,0.9979,1.06,low
452,6.8,0.56,0.03,0.084,35.0,0.9968,0.63,low
453,10.4,0.33,0.63,0.084,22.0,0.9998,0.74,high
454,7.0,0.23,0.4,0.063,67.0,0.9952,0.63,low
455,11.3,0.62,0.67,0.086,19.0,0.9988,0.69,high
456,8.9,0.59,0.39,0.095,22.0,0.9986,0.58,low
457,9.2,0.63,0.21,0.097,65.0,0.9988,0.58,low
458,10.4,0.33,0.63,0.084,22.0,0.9998,0.74,high
459,11.6,0.58,0.66,0.07400000000000001,47.0,1.0008,0.57,low
460,9.2,0.43,0.52,0.083,23.0,0.9976,0.61,low
461,8.3,0.615,0.22,0.087,19.0,0.9982,0.61,low
462,11.0,0.26,0.68,0.085,25.0,0.997,0.61,low
463,8.1,0.66,0.7,0.098,129.0,0.9972,0.53,low
464,11.5,0.315,0.54,0.084,15.0,0.9987,0.7,low
465,10.0,0.29,0.4,0.098,26.0,1.0006,0.91,low
466,10.3,0.5,0.42,0.069,51.0,0.9982,0.72,low
467,8.8,0.46,0.45,0.065,18.0,0.9947,0.79,low
468,11.4,0.36,0.69,0.09,21.0,1.0,0.62,low
469,8.7,0.82,0.02,0.07,48.0,0.9952,0.58,low
470,13.0,0.32,0.65,0.093,47.0,0.9996,0.61,low
471,9.6,0.54,0.42,0.081,52.0,0.997,0.71,low
472,12.5,0.37,0.55,0.083,68.0,0.9995,0.82,low
473,9.9,0.35,0.55,0.062,14.0,0.9971,0.79,low
474,10.5,0.28,0.51,0.08,24.0,0.9982,0.89,low
475,9.6,0.68,0.24,0.087,28.0,0.9988,0.6,low
476,9.3,0.27,0.41,0.091,16.0,0.998,0.7,low
477,10.4,0.24,0.49,0.075,20.0,0.9977,1.06,low
478,9.6,0.68,0.24,0.087,28.0,0.9988,0.6,low
479,9.4,0.685,0.11,0.077,31.0,0.9984,0.7,low
480,10.6,0.28,0.39,0.069,23.0,1.0026,0.66,low
481,9.4,0.3,0.56,0.08,17.0,0.9964,0.92,high
482,10.6,0.36,0.59,0.152,18.0,0.9986,1.05,low
483,10.6,0.36,0.6,0.152,18.0,0.9986,1.06,low
484,10.6,0.44,0.68,0.114,24.0,0.997,0.66,low
485,10.2,0.67,0.39,0.054000000000000006,17.0,0.9976,0.47,low
486,10.2,0.67,0.39,0.054000000000000006,17.0,0.9976,0.47,low
487,10.2,0.645,0.36,0.053,14.0,0.9982,0.42,low
488,11.6,0.32,0.55,0.081,67.0,1.0002,0.92,high
489,9.3,0.39,0.4,0.073,26.0,0.9984,0.75,low
490,9.3,0.775,0.27,0.078,56.0,0.9984,0.67,low
491,9.2,0.41,0.5,0.055,25.0,0.9952,0.79,high
492,8.9,0.4,0.51,0.052000000000000005,27.0,0.995,0.9,high
493,8.7,0.69,0.31,0.086,81.0,1.0002,0.74,low
494,6.5,0.39,0.23,0.051,91.0,0.9952,0.55,low
495,10.7,0.35,0.53,0.07,16.0,0.9972,0.65,high
496,7.8,0.52,0.25,0.081,38.0,0.9984,0.65,low
497,7.2,0.34,0.32,0.09,113.0,0.9966,0.79,low
498,10.7,0.35,0.53,0.07,16.0,0.9972,0.65,high
499,8.7,0.69,0.31,0.086,81.0,1.0002,0.74,low
500,7.8,0.52,0.25,0.081,38.0,0.9984,0.65,low
501,10.4,0.44,0.73,0.07400000000000001,76.0,0.999,0.85,high
502,10.4,0.44,0.73,0.07400000000000001,76.0,0.999,0.85,high
503,10.5,0.26,0.47,0.078,24.0,0.9976,1.04,high
504,10.5,0.24,0.42,0.077,22.0,0.9976,1.05,high
505,10.2,0.49,0.63,0.07200000000000001,26.0,0.9968,0.78,high
506,10.4,0.24,0.46,0.075,21.0,0.9976,1.02,high
507,11.2,0.67,0.55,0.084,13.0,1.0,0.71,low
508,10.0,0.59,0.31,0.09,62.0,0.9994,0.63,low
509,13.3,0.29,0.75,0.084,43.0,0.9986,0.68,high
510,12.4,0.42,0.49,0.073,43.0,0.9978,0.61,low
511,10.0,0.59,0.31,0.09,62.0,0.9994,0.63,low
512,10.7,0.4,0.48,0.125,49.0,0.998,0.81,low
513,10.5,0.51,0.64,0.107,15.0,0.9973,0.66,high
514,10.5,0.51,0.64,0.107,15.0,0.9973,0.66,high
515,8.5,0.655,0.49,0.122,151.0,1.001,1.14,low
516,12.5,0.6,0.49,0.1,14.0,1.001,0.74,low
517,10.4,0.61,0.49,0.2,16.0,0.9994,0.63,low
518,10.9,0.21,0.49,0.08800000000000001,32.0,0.9972,0.68,low
519,7.3,0.365,0.49,0.08800000000000001,106.0,0.9966,0.78,low
520,9.8,0.25,0.49,0.08800000000000001,33.0,0.9982,0.9,low
521,7.6,0.41,0.49,0.08800000000000001,43.0,0.998,0.64,low
522,8.2,0.39,0.49,0.099,133.0,0.9979,0.99,low
523,9.3,0.4,0.49,0.085,142.0,0.9978,0.55,low
524,9.2,0.43,0.49,0.086,116.0,0.9976,0.64,low
525,10.4,0.64,0.24,0.105,53.0,0.9998,0.67,low
526,7.3,0.365,0.49,0.08800000000000001,106.0,0.9966,0.78,low
527,7.0,0.38,0.49,0.097,85.0,0.9962,0.77,low
528,8.2,0.42,0.49,0.084,55.0,0.9988,0.75,low
529,9.9,0.63,0.24,0.077,33.0,0.9974,0.57,low
530,9.1,0.22,0.24,0.078,28.0,0.999,0.87,low
531,11.9,0.38,0.49,0.098,42.0,1.0004,0.61,low
532,11.9,0.38,0.49,0.098,42.0,1.0004,0.61,low
533,10.3,0.27,0.24,0.07200000000000001,33.0,0.9956,0.66,low
534,10.0,0.48,0.24,0.102,32.0,1.0,0.56,low
535,9.1,0.22,0.24,0.078,28.0,0.999,0.87,low
536,9.9,0.63,0.24,0.077,33.0,0.9974,0.57,low
537,8.1,0.825,0.24,0.084,13.0,0.9972,0.77,low
538,12.9,0.35,0.49,0.066,35.0,1.0014,0.66,high
539,11.2,0.5,0.74,0.1,17.0,0.9996,0.62,low
540,9.2,0.59,0.24,0.101,47.0,0.9988,0.67,low
541,9.5,0.46,0.49,0.064,17.0,0.9988,0.73,low
542,9.3,0.715,0.24,0.07,20.0,0.9966,0.59,low
543,11.2,0.66,0.24,0.085,53.0,0.9993,0.72,low
544,14.3,0.31,0.74,0.075,15.0,1.0008,0.79,low
545,9.1,0.47,0.49,0.094,106.0,0.9982,0.59,low
546,7.5,0.55,0.24,0.078,28.0,0.9983,0.78,low
547,10.6,0.31,0.49,0.067,21.0,0.9987,0.86,low
548,12.4,0.35,0.49,0.079,69.0,0.9994,0.75,low
549,9.0,0.53,0.49,0.171,25.0,0.9975,0.61,low
550,6.8,0.51,0.01,0.07400000000000001,25.0,0.9958,0.56,low
551,9.4,0.43,0.24,0.092,45.0,0.998,0.73,low
552,9.5,0.46,0.24,0.092,44.0,0.998,0.74,low
553,5.0,1.04,0.24,0.05,96.0,0.9934,0.62,low
554,15.5,0.645,0.49,0.095,23.0,1.00315,0.74,low
555,15.5,0.645,0.49,0.095,23.0,1.00315,0.74,low
556,10.9,0.53,0.49,0.118,17.0,1.0002,0.56,low
557,15.6,0.645,0.49,0.095,23.0,1.00315,0.74,low
558,10.9,0.53,0.49,0.118,17.0,1.0002,0.56,low
559,13.0,0.47,0.49,0.085,47.0,1.0021,0.68,low
560,12.7,0.6,0.49,0.075,19.0,0.9994,0.57,low
561,9.0,0.44,0.49,0.078,121.0,0.9978,0.58,low
562,9.0,0.54,0.49,0.094,110.0,0.9982,0.61,low
563,7.6,0.29,0.49,0.092,60.0,0.9971,0.61,low
564,13.0,0.47,0.49,0.085,47.0,1.0021,0.68,low
565,12.7,0.6,0.49,0.075,19.0,0.9994,0.57,low
566,8.7,0.7,0.24,0.226,15.0,0.9991,0.6,low
567,8.7,0.7,0.24,0.226,15.0,0.9991,0.6,low
568,9.8,0.5,0.49,0.25,20.0,0.999,0.79,low
569,6.2,0.36,0.24,0.095,42.0,0.9946,0.57,low
570,11.5,0.35,0.49,0.07,37.0,1.0003,0.91,low
571,6.2,0.36,0.24,0.095,42.0,0.9946,0.57,low
572,10.2,0.24,0.49,0.075,28.0,0.9978,0.61,low
573,10.5,0.59,0.49,0.07,47.0,0.9991,0.56,low
574,10.6,0.34,0.49,0.078,78.0,0.9992,0.7,low
575,12.3,0.27,0.49,0.079,46.0,0.9993,0.8,low
576,9.9,0.5,0.24,0.103,14.0,0.9978,0.52,low
577,8.8,0.44,0.49,0.083,111.0,0.9982,0.6,low
578,8.8,0.47,0.49,0.085,110.0,0.9982,0.6,low
579,10.6,0.31,0.49,0.063,40.0,0.9976,0.51,low
580,12.3,0.5,0.49,0.08900000000000001,14.0,1.0002,0.44,low
581,12.3,0.5,0.49,0.08900000000000001,14.0,1.0002,0.44,low
582,11.7,0.49,0.49,0.083,15.0,1.0,0.43,low
583,12.0,0.28,0.49,0.07400000000000001,21.0,0.9976,0.66,high
584,11.8,0.33,0.49,0.093,80.0,1.0002,0.76,high
585,7.6,0.51,0.24,0.091,38.0,0.998,0.66,low
586,11.1,0.31,0.49,0.094,47.0,0.9986,1.02,high
587,7.3,0.73,0.24,0.108,102.0,0.9967,0.59,low
588,5.0,0.42,0.24,0.06,50.0,0.9917,0.74,high
589,10.2,0.29,0.49,0.059,13.0,0.9976,0.74,high
590,9.0,0.45,0.49,0.084,75.0,0.9987,0.57,low
591,6.6,0.39,0.49,0.07,149.0,0.9922,0.5,low
592,9.0,0.45,0.49,0.084,75.0,0.9987,0.57,low
593,9.9,0.49,0.58,0.094,43.0,1.0004,0.58,low
594,7.9,0.72,0.17,0.096,38.0,0.9978,0.53,low
595,8.9,0.595,0.41,0.086,109.0,0.9998,0.57,low
596,12.4,0.4,0.51,0.059,24.0,0.9994,0.6,low
597,11.9,0.58,0.58,0.071,18.0,0.998,0.63,low
598,8.5,0.585,0.18,0.078,30.0,0.9967,0.48,low
599,12.7,0.59,0.45,0.08199999999999999,22.0,1.0,0.7,low
600,8.2,0.915,0.27,0.08800000000000001,23.0,0.9962,0.47,low
601,13.2,0.46,0.52,0.071,35.0,1.0006,0.56,low
602,7.7,0.835,0.0,0.081,14.0,0.9975,0.52,low
603,13.2,0.46,0.52,0.071,35.0,1.0006,0.56,low
604,8.3,0.58,0.13,0.096,63.0,0.9984,0.62,low
605,8.3,0.6,0.13,0.085,24.0,0.9984,0.59,low
606,9.4,0.41,0.48,0.07200000000000001,20.0,0.9973,0.79,high
607,8.8,0.48,0.41,0.092,52.0,0.9982,0.53,low
608,10.1,0.65,0.37,0.11,65.0,1.0026,0.64,low
609,6.3,0.36,0.19,0.075,39.0,0.9956,0.52,low
610,8.8,0.24,0.54,0.083,57.0,0.9983,0.54,low
611,13.2,0.38,0.55,0.081,16.0,1.0006,0.54,low
612,7.5,0.64,0.0,0.077,29.0,0.9965,0.6,low
613,8.2,0.39,0.38,0.058,29.0,0.9962,0.74,low
614,9.2,0.755,0.18,0.14800000000000002,103.0,0.9969,1.36,low
615,9.6,0.6,0.5,0.079,71.0,0.9997,0.57,low
616,9.6,0.6,0.5,0.079,71.0,0.9997,0.57,low
617,11.5,0.31,0.51,0.079,28.0,0.9982,0.93,low
618,11.4,0.46,0.5,0.122,17.0,1.0006,0.7,low
619,11.3,0.37,0.41,0.08800000000000001,16.0,0.9988,0.8,low
620,8.3,0.54,0.24,0.076,112.0,0.9976,0.61,low
621,8.2,0.56,0.23,0.078,104.0,0.9976,0.62,low
622,10.0,0.58,0.22,0.08,32.0,0.9974,0.55,low
623,7.9,0.51,0.25,0.077,45.0,0.9974,0.96,low
624,6.8,0.69,0.0,0.124,58.0,0.9997,0.72,low
625,6.8,0.69,0.0,0.124,58.0,0.9997,0.72,low
626,8.8,0.6,0.29,0.098,15.0,0.9988,0.49,low
627,8.8,0.6,0.29,0.098,15.0,0.9988,0.49,low
628,8.7,0.54,0.26,0.097,31.0,0.9976,0.6,low
629,7.6,0.685,0.23,0.111,84.0,0.9964,0.61,low
630,8.7,0.54,0.26,0.097,31.0,0.9976,0.6,low
631,10.4,0.28,0.54,0.105,19.0,0.9988,0.63,low
632,7.6,0.41,0.14,0.087,43.0,0.9964,0.57,low
633,10.1,0.935,0.22,0.105,86.0,1.001,0.64,low
634,7.9,0.35,0.21,0.073,102.0,0.9964,0.58,low
635,8.7,0.84,0.0,0.065,33.0,0.9954,0.55,low
636,9.6,0.88,0.28,0.086,147.0,0.9979,0.53,low
637,9.5,0.885,0.27,0.084,145.0,0.9978,0.53,low
638,7.7,0.915,0.12,0.14300000000000002,23.0,0.9964,0.65,high
639,8.9,0.29,0.35,0.067,57.0,0.997,1.36,low
640,9.9,0.54,0.45,0.071,40.0,0.9991,0.62,low
641,9.5,0.59,0.44,0.071,68.0,0.9992,0.63,low
642,9.9,0.54,0.45,0.071,40.0,0.9991,0.62,low
643,9.5,0.59,0.44,0.071,68.0,0.9992,0.63,low
644,9.9,0.54,0.45,0.071,40.0,0.9991,0.62,low
645,7.8,0.64,0.1,0.115,11.0,0.9984,0.69,high
646,7.3,0.67,0.05,0.107,20.0,0.9972,0.63,low
647,8.3,0.845,0.01,0.07,14.0,0.9967,0.58,low
648,8.7,0.48,0.3,0.066,28.0,0.9964,0.67,high
649,6.7,0.42,0.27,0.068,148.0,0.9948,0.57,low
650,10.7,0.43,0.39,0.106,32.0,0.9986,0.5,low
651,9.8,0.88,0.25,0.104,155.0,1.001,0.67,low
652,15.9,0.36,0.65,0.096,71.0,0.9976,0.84,low
653,9.4,0.33,0.59,0.079,30.0,0.9976,0.54,low
654,8.6,0.47,0.47,0.07400000000000001,29.0,0.9979,0.46,low
655,9.7,0.55,0.17,0.087,53.0,1.0004,0.61,low
656,10.7,0.43,0.39,0.106,32.0,0.9986,0.5,low
657,12.0,0.5,0.59,0.073,42.0,0.998,0.68,high
658,7.2,0.52,0.07,0.07400000000000001,20.0,0.9973,0.81,low
659,7.1,0.84,0.02,0.096,13.0,0.997,0.57,low
660,7.2,0.52,0.07,0.07400000000000001,20.0,0.9973,0.81,low
661,7.5,0.42,0.31,0.08,42.0,0.9978,0.64,low
662,7.2,0.57,0.06,0.076,27.0,0.9972,0.7,low
663,10.1,0.28,0.46,0.05,13.0,0.9974,0.79,low
664,12.1,0.4,0.52,0.092,54.0,1.0,0.66,low
665,9.4,0.59,0.14,0.084,48.0,0.9981,0.56,low
666,8.3,0.49,0.36,0.222,16.0,0.998,0.6,low
667,11.3,0.34,0.45,0.08199999999999999,15.0,0.9988,0.66,low
668,10.0,0.73,0.43,0.059,31.0,0.9966,0.57,low
669,11.3,0.34,0.45,0.08199999999999999,15.0,0.9988,0.66,low
670,6.9,0.4,0.24,0.083,45.0,0.9959,0.58,low
671,8.2,0.73,0.21,0.07400000000000001,13.0,0.9968,0.52,low
672,9.8,1.24,0.34,0.079,151.0,0.998,0.53,low
673,8.2,0.73,0.21,0.07400000000000001,13.0,0.9968,0.52,low
674,10.8,0.4,0.41,0.084,17.0,0.9984,0.67,low
675,9.3,0.41,0.39,0.064,31.0,0.9984,0.65,low
676,10.8,0.4,0.41,0.084,17.0,0.9984,0.67,low
677,8.6,0.8,0.11,0.084,31.0,0.9979,0.48,low
678,8.3,0.78,0.1,0.081,87.0,0.9983,0.53,low
679,10.8,0.26,0.45,0.06,49.0,0.9972,0.54,low
680,13.3,0.43,0.58,0.07,40.0,1.0004,0.49,low
681,8.0,0.45,0.23,0.094,29.0,0.9962,0.49,low
682,8.5,0.46,0.31,0.078,58.0,0.998,0.54,low
683,8.1,0.78,0.23,0.059,15.0,0.997,0.56,low
684,9.8,0.98,0.32,0.078,152.0,0.998,0.48,low
685,8.1,0.78,0.23,0.059,15.0,0.997,0.56,low
686,7.1,0.65,0.18,0.07,40.0,0.997,0.6,low
687,9.1,0.64,0.23,0.095,38.0,0.9998,0.59,low
688,7.7,0.66,0.04,0.039,9.0,0.9962,0.47,low
689,8.1,0.38,0.48,0.157,17.0,0.9976,1.05,low
690,7.4,1.185,0.0,0.097,14.0,0.9966,0.54,low
691,9.2,0.92,0.24,0.087,93.0,0.9998,0.54,low
692,8.6,0.49,0.51,0.422,62.0,0.9979,1.17,low
693,9.0,0.48,0.32,0.084,122.0,0.9984,0.62,low
694,9.0,0.47,0.31,0.084,125.0,0.9984,0.61,low
695,5.1,0.47,0.02,0.034,44.0,0.9921,0.62,low
696,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,low
697,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,low
698,9.4,0.615,0.28,0.087,72.0,1.0001,0.53,low
699,11.8,0.38,0.55,0.071,19.0,0.9986,0.62,low
700,10.6,1.02,0.43,0.076,88.0,0.9984,0.57,low
701,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,low
702,7.0,0.64,0.02,0.067,23.0,0.997,0.67,low
703,7.5,0.38,0.48,0.073,84.0,0.9972,0.7,low
704,9.1,0.765,0.04,0.078,14.0,0.998,0.54,low
705,8.4,1.035,0.15,0.073,54.0,0.999,0.49,low
706,7.0,0.78,0.08,0.093,19.0,0.9956,0.47,low
707,7.4,0.49,0.19,0.077,37.0,0.9966,0.51,low
708,7.8,0.545,0.12,0.068,35.0,0.996,0.61,low
709,9.7,0.31,0.47,0.062,33.0,0.9983,0.66,low
710,10.6,1.025,0.43,0.08,84.0,0.9985,0.57,low
711,8.9,0.565,0.34,0.093,112.0,0.9998,0.61,low
712,8.7,0.69,0.0,0.084,33.0,0.9992,0.45,low
713,8.0,0.43,0.36,0.075,48.0,0.9976,0.46,low
714,9.9,0.74,0.28,0.078,77.0,0.998,0.51,low
715,7.2,0.49,0.18,0.069,34.0,0.9967,0.48,low
716,8.0,0.43,0.36,0.075,48.0,0.9976,0.46,low
717,7.6,0.46,0.11,0.079,49.0,0.9968,0.57,low
718,8.4,0.56,0.04,0.08199999999999999,22.0,0.9976,0.44,low
719,7.1,0.66,0.0,0.086,45.0,0.9976,0.54,low
720,8.4,0.56,0.04,0.08199999999999999,22.0,0.9976,0.44,low
721,8.9,0.48,0.24,0.094,106.0,0.9982,0.53,low
722,7.6,0.42,0.08,0.084,48.0,0.9968,0.59,low
723,7.1,0.31,0.3,0.053,127.0,0.9965,1.62,low
724,7.5,1.115,0.1,0.086,12.0,0.9958,0.6,low
725,9.0,0.66,0.17,0.077,13.0,0.9976,0.55,low
726,8.1,0.72,0.09,0.084,49.0,0.9994,0.72,low
727,6.4,0.57,0.02,0.067,11.0,0.997,0.68,low
728,6.4,0.57,0.02,0.067,11.0,0.997,0.68,low
729,6.4,0.865,0.03,0.071,58.0,0.995,0.49,low
730,9.5,0.55,0.66,0.387,37.0,0.9982,0.67,low
731,8.9,0.875,0.13,0.08800000000000001,14.0,0.9994,0.52,low
732,7.3,0.835,0.03,0.092,19.0,0.9966,0.47,low
733,7.0,0.45,0.34,0.08199999999999999,72.0,0.998,0.6,low
734,7.7,0.56,0.2,0.075,39.0,0.9987,0.62,low
735,7.7,0.965,0.1,0.112,22.0,0.9963,0.5,low
736,7.7,0.965,0.1,0.112,22.0,0.9963,0.5,low
737,8.2,0.59,0.0,0.093,58.0,1.0002,0.65,low
738,9.0,0.46,0.23,0.092,104.0,0.9983,0.56,low
739,9.0,0.69,0.0,0.08800000000000001,38.0,0.999,0.6,low
740,8.3,0.76,0.29,0.075,16.0,0.9965,0.68,low
741,9.2,0.53,0.24,0.078,139.0,0.99788,0.57,low
742,6.5,0.615,0.0,0.065,18.0,0.9972,0.65,low
743,11.6,0.41,0.58,0.096,101.0,1.00024,0.53,low
744,11.1,0.39,0.54,0.095,101.0,1.0001,0.51,low
745,7.3,0.51,0.18,0.07,28.0,0.99768,0.73,low
746,8.2,0.34,0.38,0.08,57.0,0.9978,0.47,low
747,8.6,0.33,0.4,0.083,68.0,0.99782,0.48,low
748,7.2,0.5,0.18,0.071,31.0,0.99761,0.72,low
749,7.3,0.51,0.18,0.07,28.0,0.99768,0.73,low
750,8.3,0.65,0.1,0.08900000000000001,40.0,0.99803,0.55,low
751,8.3,0.65,0.1,0.08900000000000001,40.0,0.99803,0.55,low
752,7.6,0.54,0.13,0.097,66.0,0.99785,0.61,low
753,8.3,0.65,0.1,0.08900000000000001,40.0,0.99803,0.55,low
754,7.8,0.48,0.68,0.415,32.0,0.99656,1.06,low
755,7.8,0.91,0.07,0.058,47.0,0.99525,0.43,low
756,6.3,0.98,0.01,0.057,33.0,0.99488,0.46,low
757,8.1,0.87,0.0,0.084,31.0,0.99656,0.5,low
758,8.1,0.87,0.0,0.084,31.0,0.99656,0.5,low
759,8.8,0.42,0.21,0.092,88.0,0.99823,0.52,low
760,9.0,0.58,0.25,0.075,104.0,0.99779,0.57,low
761,9.3,0.655,0.26,0.096,35.0,0.99738,0.42,low
762,8.8,0.7,0.0,0.069,19.0,0.99701,0.53,low
763,9.3,0.655,0.26,0.096,35.0,0.99738,0.42,low
764,9.1,0.68,0.11,0.093,44.0,0.99888,0.55,low
765,9.2,0.67,0.1,0.091,48.0,0.99888,0.54,low
766,8.8,0.59,0.18,0.08900000000000001,74.0,0.99738,0.54,low
767,7.5,0.6,0.32,0.103,98.0,0.99938,0.62,low
768,7.1,0.59,0.02,0.08199999999999999,94.0,0.99744,0.53,low
769,7.9,0.72,0.01,0.076,32.0,0.99668,0.54,low
770,7.1,0.59,0.02,0.08199999999999999,94.0,0.99744,0.53,low
771,9.4,0.685,0.26,0.08199999999999999,143.0,0.9978,0.55,low
772,9.5,0.57,0.27,0.08199999999999999,144.0,0.99782,0.55,low
773,7.9,0.4,0.29,0.157,44.0,0.9973,0.92,low
774,7.9,0.4,0.3,0.157,45.0,0.99727,0.91,low
775,7.2,1.0,0.0,0.102,16.0,0.99586,0.46,low
776,6.9,0.765,0.18,0.243,48.0,0.99612,0.6,low
777,6.9,0.635,0.17,0.241,18.0,0.9961,0.59,low
778,8.3,0.43,0.3,0.079,34.0,0.99788,0.61,low
779,7.1,0.52,0.03,0.076,92.0,0.99745,0.6,low
780,7.0,0.57,0.0,0.19,45.0,0.99676,0.6,low
781,6.5,0.46,0.14,0.114,37.0,0.99732,0.65,low
782,9.0,0.82,0.05,0.081,96.0,0.99814,0.53,low
783,6.5,0.46,0.14,0.114,37.0,0.99732,0.65,low
784,7.1,0.59,0.01,0.077,85.0,0.99746,0.59,low
785,9.9,0.35,0.41,0.083,61.0,0.9982,0.5,low
786,9.9,0.35,0.41,0.083,61.0,0.9982,0.5,low
787,10.0,0.56,0.24,0.079,58.0,0.9991,0.56,low
788,10.0,0.56,0.24,0.079,58.0,0.9991,0.56,low
789,8.6,0.63,0.17,0.099,119.0,0.998,0.52,low
790,7.4,0.37,0.43,0.08199999999999999,82.0,0.99708,0.68,low
791,8.8,0.64,0.17,0.084,130.0,0.99818,0.54,low
792,7.1,0.61,0.02,0.081,87.0,0.99745,0.6,low
793,7.7,0.6,0.0,0.055,13.0,0.99639,0.56,low
794,10.1,0.27,0.54,0.065,26.0,0.99531,0.53,low
795,10.8,0.89,0.3,0.132,60.0,0.99786,1.18,low
796,8.7,0.46,0.31,0.126,64.0,0.99746,0.74,low
797,9.3,0.37,0.44,0.038,42.0,0.99526,0.81,high
798,9.4,0.5,0.34,0.08199999999999999,14.0,0.9987,0.52,low
799,9.4,0.5,0.34,0.08199999999999999,14.0,0.9987,0.52,low
800,7.2,0.61,0.08,0.08199999999999999,108.0,0.99641,0.51,low
801,8.6,0.55,0.09,0.068,17.0,0.99735,0.44,low
802,5.1,0.585,0.0,0.044,86.0,0.99264,0.94,high
803,7.7,0.56,0.08,0.114,46.0,0.9971,0.66,low
804,8.4,0.52,0.22,0.084,18.0,0.99682,0.57,low
805,8.2,0.28,0.4,0.052000000000000005,10.0,0.99356,0.7,high
806,8.4,0.25,0.39,0.041,10.0,0.99386,0.71,high
807,8.2,0.28,0.4,0.052000000000000005,10.0,0.99356,0.7,high
808,7.4,0.53,0.12,0.165,12.0,0.99702,0.86,low
809,7.6,0.48,0.31,0.07,15.0,0.99693,0.55,low
810,7.3,0.49,0.1,0.068,14.0,0.99562,0.47,low
811,12.9,0.5,0.55,0.07200000000000001,24.0,1.00012,0.68,low
812,10.8,0.45,0.33,0.099,38.0,0.99818,0.71,low
813,6.9,0.39,0.24,0.102,7.0,0.99462,0.58,low
814,12.6,0.41,0.54,0.103,41.0,0.99939,0.76,low
815,10.8,0.45,0.33,0.099,38.0,0.99818,0.71,low
816,9.8,0.51,0.19,0.081,30.0,0.9984,0.58,low
817,10.8,0.29,0.42,0.084,27.0,0.99545,0.73,low
818,7.1,0.715,0.0,0.071,47.0,0.99632,0.45,low
819,9.1,0.66,0.15,0.097,59.0,0.99976,0.54,low
820,7.0,0.685,0.0,0.099,22.0,0.99606,0.6,low
821,4.9,0.42,0.0,0.048,42.0,0.99154,0.74,high
822,6.7,0.54,0.13,0.076,36.0,0.9973,0.64,low
823,6.7,0.54,0.13,0.076,36.0,0.9973,0.64,low
824,7.1,0.48,0.28,0.068,16.0,0.99682,0.53,low
825,7.1,0.46,0.14,0.076,37.0,0.99624,0.49,low
826,7.5,0.27,0.34,0.05,8.0,0.9951,0.64,high
827,7.1,0.46,0.14,0.076,37.0,0.99624,0.49,low
